threshold,cloningTime,versionedTime,persistentTime,coloredTime
69.96788000000001,172,175,164,70
70.29787,172,175,164,70
70.62786000000001,172,175,164,70
70.95785000000001,172,175,164,70
71.28784,174,175,164,70
71.61783000000001,174,176,164,70
71.94782000000001,174,176,164,70
72.27781,174,176,164,70
72.60780000000001,174,176,164,70
72.93779,174,176,164,70
73.26778,174,176,164,70
73.59777000000001,174,176,164,70
73.92776000000002,174,176,164,70
74.25775,174,176,164,70
74.58774000000001,174,176,164,70
74.91773,174,176,164,70
75.24772,174,176,164,70
75.57771000000001,174,176,164,70
75.9077,174,176,164,70
76.23769,174,176,164,70
76.56768000000001,174,176,164,70
76.89767,174,176,164,70
77.22766000000001,174,176,164,70
77.55765000000001,174,176,164,70
77.88764,174,176,164,70
78.21763000000001,174,176,164,70
78.54762,174,176,164,70
78.87761,174,176,164,70
79.20760000000001,174,176,164,70
79.53759000000001,174,176,164,70
79.86758,174,176,164,70
80.19757000000001,174,176,164,70
80.52756000000001,174,176,164,70
80.85755,174,176,164,70
81.18754000000001,174,176,164,70
81.51753000000001,174,176,164,70
81.84752,174,176,164,70
82.17751000000001,174,176,164,70
82.50750000000001,174,176,164,70
82.83749000000002,174,176,164,70
83.16748,174,176,164,70
83.49747,174,176,164,70
83.82746000000002,174,176,164,70
84.15745,174,176,164,70
84.48744,174,176,164,70
84.81743000000002,174,176,164,70
85.14742,174,176,164,70
85.47741,174,176,164,70
85.80740000000002,174,176,164,70
86.13739000000001,174,176,164,70
86.46738,174,176,164,70
86.79737,174,176,164,70
87.12736000000001,174,176,164,70
87.45735,174,176,164,70
87.78734,174,176,164,70
88.11733000000001,174,176,164,70
88.44732000000002,175,176,164,70
88.77731,175,176,164,70
89.10730000000001,175,177,164,70
89.43729000000002,175,177,164,70
89.76728,175,177,164,70
90.09727000000001,175,177,164,70
90.42726000000002,175,177,164,70
90.75725,175,177,164,70
91.08724000000001,175,177,164,70
91.41723,175,177,164,70
91.74722000000001,175,177,164,70
92.07721000000001,175,177,164,70
92.4072,175,177,164,70
92.73719000000001,175,177,164,70
93.06718000000001,175,177,164,70
93.39717,175,177,164,70
93.72716000000001,175,177,164,70
94.05715000000001,175,177,164,70
94.38714,175,177,164,70
94.71713000000001,175,177,164,70
95.04712,175,177,164,70
95.37711,175,177,164,70
95.70710000000001,175,177,164,70
96.03709,175,177,164,70
96.36708,175,177,164,70
96.69707000000001,175,177,164,70
97.02706,175,177,164,70
97.35705,175,177,164,70
97.68704000000001,175,177,164,70
98.01703,175,177,164,70
98.34702000000001,175,178,164,70
98.67701000000001,175,178,164,70
99.007,175,178,164,70
99.33699000000001,175,178,164,70
99.66698,175,178,164,70
99.99697,175,178,164,70
100.32696000000001,175,178,164,70
100.65695000000001,175,178,164,70
100.98694,175,178,164,70
101.31693000000001,175,178,164,70
101.64692000000001,175,178,164,70
101.97691,175,178,164,70
102.30690000000001,175,178,164,70
102.63689000000001,175,178,164,70
102.96688,175,178,164,70
103.29687000000001,175,178,164,70
103.62686000000001,175,178,164,70
103.95685000000002,175,178,164,70
104.28684,175,178,164,70
104.61683000000001,175,178,164,70
104.94682000000002,175,178,164,70
105.27681,175,178,164,70
105.6068,175,178,164,70
105.93679000000002,175,178,164,70
106.26678,175,179,164,70
106.59677,175,179,164,70
106.92676000000002,175,179,164,70
107.25675000000001,175,179,164,70
107.58674,175,179,164,70
107.91673,175,179,164,70
108.24672000000001,175,179,164,70
108.57671,175,179,164,70
108.9067,175,179,164,70
109.23669000000001,175,179,164,70
109.56668000000002,175,179,164,70
109.89667,175,179,164,70
110.22666000000001,175,179,164,70
110.55665000000002,175,179,164,70
110.88664,175,179,164,70
111.21663000000001,175,179,164,70
111.54662000000002,175,179,164,70
111.87661,175,179,164,70
112.20660000000001,175,179,164,70
112.53659,175,179,164,70
112.86658000000001,175,179,164,70
113.19657000000001,175,179,164,70
113.52656,175,179,164,70
113.85655000000001,175,179,164,70
114.18654000000001,175,179,164,70
114.51653,175,179,164,70
114.84652000000001,175,179,164,70
115.17651000000001,175,179,164,70
115.5065,175,179,164,70
115.83649000000001,175,179,164,70
116.16648000000002,175,179,164,70
116.49647,175,179,164,70
116.82646000000001,175,179,164,70
117.15645,175,179,164,70
117.48644,175,179,164,70
117.81643000000001,175,179,164,70
118.14642,175,180,164,70
118.47641000000002,175,180,164,70
118.80640000000001,175,180,164,70
119.13639,175,180,164,70
119.46638000000002,175,180,164,70
119.79637000000001,175,180,164,70
120.12636,175,180,164,70
120.45635000000001,175,180,164,70
120.78634,175,180,164,70
