benchmark,cloning_code,cloning_secs,cloning_kb,cloning_branches,versioned_code,versioned_secs,versioned_kb,versioned_branches,persistent_code,persistent_secs,persistent_kb,persistent_branches,colored_code,colored_secs,colored_kb,colored_branches
benchmarks/sg_clam_goal-sg33.smt2.th,0,222.36,2108276.0,13.0,0,39.27,654213.5,13.0,0,256.41,3392432.0,13.0,101,0.78,10311.97,0.0
benchmarks/sg_clam_goal-sg34.smt2.th,0,0.68,11011.1,13.0,0,0.58,7374.57,13.0,0,0.56,13110.97,13.0,101,1.81,9439.08,0.0
benchmarks/sg_clam_goal-sg35.smt2.th,0,9.48,78107.87,13.0,0,8.19,40531.35,13.0,0,9.27,124614.37,13.0,101,7.75,21423.48,0.0
benchmarks/sg_clam_goal-sg4.smt2.th,0,2.04,52057.9,13.0,0,3.62,117020.93,13.0,0,3.23,105479.06,13.0,0,5.28,32754.64,45.0
benchmarks/sg_clam_goal-sg48.smt2.th,0,7.71,70271.48,273.76,0,3.84,16933.14,274.55,0,9.03,103630.9,274.39,101,33.46,7382.22,0.0
benchmarks/sg_clam_goal-sg49.smt2.th,0,104.5,3938000.0,109.0,0,100.93,2530986.66,109.0,124,292.03,13640008.0,0.0,101,0.46,8501.53,0.0
benchmarks/sg_clam_goal-sg5.smt2.th,0,0.96,11469.48,13.0,0,1.32,13694.47,13.0,0,0.94,16383.22,13.0,0,3.19,13150.96,45.0
benchmarks/sg_clam_goal-sg50.smt2.th,124,45.97,702256.5,178.12,124,13.48,108429.67,190.38,0,15.13,179670.0,201.7,101,2.84,8618.57,0.0
benchmarks/sg_clam_goal-sg6.smt2.th,0,1.05,11938.7,13.0,0,1.4,14089.37,13.0,0,1.03,16783.75,13.0,0,3.81,13713.79,45.0
benchmarks/sg_clam_goal-sg7.smt2.th,0,4.96,35348.06,13.0,0,4.78,37156.77,13.0,0,5.13,47928.68,13.0,124,115.94,422489.33,30.0
benchmarks/sg_clam_goal-sg75.smt2.th,0,7.12,57228.38,13.0,0,4.49,40129.45,13.0,0,9.51,74085.91,13.0,0,37.87,91527.6,45.0
benchmarks/sg_clam_goal-sg76.smt2.th,0,58.19,449326.66,13.0,0,106.06,944205.33,13.0,134,18.75,311038.0,0.0,101,83.58,284010.0,0.0
benchmarks/sg_clam_goal-sg77.smt2.th,0,4.01,33531.4,13.0,0,6.88,60919.62,13.0,0,4.92,49127.2,13.0,0,52.63,115639.33,45.0
benchmarks/sg_clam_goal-sg78.smt2.th,0,3.17,30096.68,13.0,0,4.2,36094.81,13.0,0,4.24,46040.0,13.0,0,15.02,37216.2,45.0
