threshold,cloningMemory,versionedMemory,persistentMemory,coloredMemory
24.854140000000005,185,189,164,70
24.889330000000005,185,189,164,70
24.924520000000005,185,189,164,70
24.959710000000005,185,189,164,70
24.99490000000001,185,189,164,70
25.030090000000005,185,189,164,70
25.065280000000005,185,189,164,70
25.100470000000005,185,189,164,70
25.135660000000005,185,189,164,70
25.170850000000005,185,189,164,70
25.206040000000005,185,189,164,70
25.241230000000005,185,189,164,70
25.276420000000005,185,189,164,70
25.311610000000005,185,189,164,70
25.346800000000005,185,189,164,70
25.381990000000005,185,189,164,70
25.417180000000005,185,189,164,70
25.452370000000005,185,189,164,70
25.487560000000006,185,189,164,70
25.522750000000006,185,189,164,70
25.557940000000006,185,189,164,70
25.593130000000006,185,189,164,70
25.628320000000006,185,189,164,70
25.663510000000002,185,189,164,70
25.698700000000006,185,189,164,70
25.733890000000006,185,189,164,70
25.769080000000002,185,189,164,70
25.804270000000006,185,189,164,70
25.839460000000006,185,189,164,70
25.874650000000006,185,189,164,70
25.909840000000006,185,189,164,70
25.945030000000003,185,189,164,70
25.980220000000006,185,189,164,70
26.015410000000006,185,189,164,70
26.050600000000003,185,189,164,70
26.085790000000006,185,189,164,70
26.120980000000007,185,189,164,70
26.156170000000003,185,189,164,70
26.191360000000007,185,189,164,70
26.226550000000003,185,189,164,70
26.261740000000007,185,189,164,70
26.296930000000007,185,189,164,70
26.332120000000003,185,189,164,70
26.367310000000007,185,189,164,70
26.402500000000007,185,189,164,70
26.437690000000003,185,189,164,70
26.472880000000007,185,189,164,70
26.508070000000004,185,189,164,70
26.543260000000004,185,189,164,70
26.578450000000007,185,189,164,70
26.613640000000004,185,189,164,70
26.648830000000007,185,189,164,70
26.684020000000007,185,189,164,70
26.719210000000004,185,189,164,70
26.754400000000008,185,189,164,70
26.789590000000004,185,189,164,70
26.824780000000004,185,189,164,70
26.859970000000008,185,189,164,70
26.895160000000004,185,189,164,70
26.930350000000004,185,189,164,70
26.965540000000008,185,189,164,70
27.000730000000004,185,189,164,70
27.035920000000008,185,189,164,70
27.071110000000004,185,189,164,70
27.106300000000005,185,189,164,70
27.141490000000008,185,189,164,70
27.176680000000005,185,189,164,70
27.211870000000005,185,189,164,70
27.24706000000001,185,189,164,70
27.282250000000005,185,189,164,70
27.317440000000005,185,189,164,70
27.352630000000005,185,189,164,70
27.387820000000005,185,189,164,70
27.423010000000005,185,189,164,70
27.458200000000005,185,189,164,70
27.493390000000005,185,189,164,70
27.52858000000001,185,189,164,70
27.563770000000005,185,189,164,70
27.598960000000005,185,189,164,70
27.634150000000005,185,189,164,70
27.669340000000005,185,189,164,70
27.704530000000005,185,189,164,70
27.739720000000005,185,189,164,70
27.774910000000006,185,189,164,70
27.810100000000002,185,189,164,70
27.845290000000006,185,189,164,70
27.880480000000006,185,189,164,70
27.915670000000006,185,189,164,70
27.950860000000006,185,189,164,70
27.986050000000006,185,189,164,70
28.021240000000006,185,189,164,70
28.056430000000006,185,189,164,70
28.091620000000002,185,189,164,70
28.126810000000006,185,189,164,70
28.162000000000006,185,189,164,70
28.197190000000003,185,189,164,70
28.232380000000006,185,189,164,70
28.267570000000006,185,189,164,70
28.302760000000006,185,189,164,70
28.337950000000006,185,189,164,70
28.373140000000003,185,189,164,70
28.408330000000007,185,189,164,70
28.443520000000007,185,189,164,70
28.478710000000003,185,189,164,70
28.513900000000007,185,189,164,70
28.549090000000007,185,189,164,70
28.584280000000003,185,189,164,70
28.619470000000007,185,189,164,70
28.654660000000003,185,189,164,70
28.689850000000003,185,189,164,70
28.725040000000007,185,189,164,70
28.760230000000004,185,189,164,70
28.795420000000007,185,189,164,70
28.830610000000007,185,189,164,70
28.865800000000004,185,189,164,70
28.900990000000007,185,189,164,70
28.936180000000004,185,189,164,70
28.971370000000004,185,189,164,70
29.006560000000007,185,189,164,70
29.041750000000004,185,189,164,70
29.076940000000004,185,189,164,70
29.112130000000008,185,189,164,70
29.147320000000004,185,189,164,70
29.182510000000008,185,189,164,70
29.217700000000004,185,189,164,70
29.252890000000004,185,189,164,70
29.288080000000008,185,189,164,70
29.323270000000004,185,189,164,70
29.358460000000004,185,189,164,70
29.393650000000008,185,189,164,70
29.428840000000005,185,189,164,70
29.464030000000005,185,189,164,70
29.499220000000005,185,189,164,70
29.534410000000005,185,189,164,70
29.56960000000001,185,189,164,70
29.604790000000005,185,189,164,70
29.639980000000005,185,189,164,70
29.67517000000001,185,189,164,70
29.710360000000005,185,189,164,70
29.745550000000005,185,189,164,70
29.780740000000005,185,189,164,70
29.815930000000005,185,189,164,70
29.851120000000005,185,189,164,70
29.886310000000005,185,189,164,70
29.921500000000005,185,189,164,70
29.956690000000005,185,189,164,70
29.991880000000005,185,189,164,70
30.027070000000005,185,189,164,70
30.062260000000006,185,189,164,70
30.097450000000006,185,189,164,70
30.132640000000006,185,189,164,70
30.167830000000006,185,189,164,70
30.203020000000006,185,189,164,70
30.238210000000006,185,189,164,70
