benchmark,cloning_code,cloning_secs,cloning_kb,cloning_branches,versioned_code,versioned_secs,versioned_kb,versioned_branches,persistent_code,persistent_secs,persistent_kb,persistent_branches,colored_code,colored_secs,colored_kb,colored_branches
benchmarks/isaplanner_goal6.smt2.th,0,.13,11824.00,21.00,0,.12,9952.00,21.00,0,.16,12672.00,21.00,101,10.68,10176.00,0
benchmarks/isaplanner_goal7.smt2.th,0,.13,11488.00,21.00,0,.12,9904.00,21.00,0,.17,12768.00,21.00,101,.65,10560.00,0
benchmarks/isaplanner_goal8.smt2.th,0,.13,11664.00,21.00,0,.13,9936.00,21.00,0,.16,12544.00,21.00,101,10.58,10192.00,0
benchmarks/isaplanner_goal9.smt2.th,0,.12,11776.00,21.00,0,.13,9984.00,21.00,0,.18,12816.00,21.00,101,2.52,10416.00,0
benchmarks/sg_clam_goal-sg8.smt2.th,0,.63,14400.00,67.00,0,.14,9616.00,67.00,0,.18,14544.00,67.00,101,14.42,10416.00,0
benchmarks/isaplanner_goal17.smt2.th,0,.24,14336.00,55.00,0,.15,9792.00,55.00,0,.25,13792.00,55.00,101,9.20,10320.00,0
benchmarks/isaplanner_goal68.smt2.th,0,.15,13200.00,27.00,0,.17,11360.00,27.00,0,.22,14672.00,27.00,101,8.71,10400.00,0
benchmarks/isaplanner_goal35.smt2.th,101,0,7312.00,0,101,0,7296.00,0,101,0,7312.00,0,101,0,7312.00,0
benchmarks/isaplanner_goal71.smt2.th,0,.24,14512.00,55.00,0,.16,9840.00,55.00,0,.24,13664.00,55.00,101,9.14,10240.00,0
benchmarks/clam_goal34.smt2.th,0,.19,11056.00,13.00,0,.17,9824.00,13.00,0,.18,11680.00,13.00,101,.20,10000.00,0
benchmarks/clam_goal85.smt2.th,0,.18,11184.00,13.00,0,.18,9920.00,13.00,0,.18,11904.00,13.00,101,.20,10000.00,0
benchmarks/sg_clam_goal-sg24.smt2.th,0,1.11,13936.00,13.00,0,.20,10800.00,13.00,0,.19,11824.00,13.00,101,.85,11872.00,0
benchmarks/isaplanner_goal64.smt2.th,0,.27,19312.00,77.00,0,.22,10656.00,77.00,0,.32,17168.00,77.00,101,26.06,10528.00,0
benchmarks/isaplanner_goal22.smt2.th,0,.32,20368.00,115.00,0,.24,10000.00,115.00,0,.36,16912.00,115.00,101,77.24,11520.00,0
benchmarks/isaplanner_goal23.smt2.th,0,.34,20560.00,115.00,0,.25,10064.00,115.00,0,.34,16496.00,115.00,101,77.68,11488.00,0
benchmarks/isaplanner_goal24.smt2.th,0,.33,20560.00,115.00,0,.25,9936.00,115.00,0,.36,16256.00,115.00,101,77.55,11408.00,0
benchmarks/isaplanner_goal25.smt2.th,0,.32,20560.00,115.00,0,.24,10000.00,115.00,0,.35,16176.00,115.00,101,77.53,11440.00,0
benchmarks/isaplanner_goal31.smt2.th,0,.32,20704.00,115.00,0,.25,10064.00,115.00,0,.38,17056.00,115.00,101,76.02,11456.00,0
benchmarks/isaplanner_goal36.smt2.th,101,0,7344.00,0,101,0,7360.00,0,101,0,7376.00,0,101,0,7328.00,0
benchmarks/isaplanner_goal32.smt2.th,0,.32,20592.00,115.00,0,.23,9936.00,115.00,0,.36,16496.00,115.00,101,76.13,11408.00,0
benchmarks/isaplanner_goal33.smt2.th,0,.33,20656.00,115.00,0,.24,10064.00,115.00,0,.34,16256.00,115.00,101,75.23,11392.00,0
benchmarks/isaplanner_goal34.smt2.th,0,.34,20560.00,115.00,0,.25,10128.00,115.00,0,.36,16816.00,115.00,101,75.38,11376.00,0
benchmarks/clam_goal13.smt2.th,0,.26,12032.00,13.00,0,.27,11776.00,13.00,0,.28,13856.00,13.00,101,.09,9648.00,0
benchmarks/clam_goal26.smt2.th,0,.25,12016.00,13.00,0,.25,11424.00,13.00,0,.26,14016.00,13.00,101,.09,9584.00,0
benchmarks/isaplanner_goal67.smt2.th,0,.32,17936.00,73.00,0,.26,11344.00,73.00,0,.37,18336.00,73.00,101,30.28,10896.00,0
benchmarks/clam_goal61.smt2.th,0,.21,11872.00,13.00,0,.30,13888.00,13.00,0,.27,15760.00,13.00,0,1.60,13168.00,45.00
benchmarks/clam_goal63.smt2.th,0,.24,12272.00,13.00,0,.33,14080.00,13.00,0,.25,15008.00,13.00,0,1.49,13088.00,45.00
benchmarks/clam_goal72.smt2.th,0,.24,12160.00,13.00,0,.32,14144.00,13.00,0,.24,14544.00,13.00,0,1.55,13232.00,45.00
benchmarks/sg_clam_goal-sg13.smt2.th,0,.34,12592.00,13.00,0,.33,11968.00,13.00,0,.34,14672.00,13.00,101,.26,10400.00,0
benchmarks/sg_clam_goal-sg15.smt2.th,0,.01,9328.00,13.00,0,.02,8960.00,13.00,0,.02,9648.00,13.00,0,1.05,9488.00,45.00
benchmarks/isaplanner_goal12.smt2.th,0,.41,14960.00,67.00,0,.35,10672.00,67.00,0,.40,22064.00,67.00,101,3.09,18864.00,0
benchmarks/isaplanner_goal69.smt2.th,0,.43,20944.00,91.00,0,.39,12320.00,91.00,0,.43,20144.00,91.00,101,56.46,11088.00,0
benchmarks/sg_clam_goal-sg9.smt2.th,0,4.17,32544.00,67.00,0,.36,10192.00,67.00,0,7.20,77008.00,67.00,101,16.59,10512.00,0
benchmarks/sg_clam_goal-sg26.smt2.th,0,.41,12544.00,13.00,0,.40,11904.00,13.00,0,.39,15360.00,13.00,101,.55,10928.00,0
benchmarks/clam_goal35.smt2.th,0,.48,13696.00,13.00,0,.47,11440.00,13.00,0,.46,16400.00,13.00,101,.55,11648.00,0
benchmarks/clam_goal86.smt2.th,0,.50,13712.00,13.00,0,.46,11360.00,13.00,0,.46,16432.00,13.00,101,.54,11632.00,0
benchmarks/sg_clam_goal-sg34.smt2.th,0,1.02,15856.00,13.00,0,.89,12000.00,13.00,0,.83,18960.00,13.00,101,2.31,13984.00,0
benchmarks/sg_clam_goal-sg85.smt2.th,0,1.19,14976.00,13.00,0,.95,11424.00,13.00,0,.82,15968.00,13.00,101,1.36,11328.00,0
benchmarks/clam_goal52.smt2.th,0,.60,14768.00,13.00,0,.74,19824.00,13.00,0,.51,20848.00,13.00,0,6.88,57104.00,45.00
benchmarks/clam_goal53.smt2.th,0,.93,34720.00,13.00,0,.70,19872.00,13.00,0,.50,20656.00,13.00,0,2.41,17968.00,45.00
benchmarks/clam_goal1.smt2.th,0,.02,9600.00,13.00,0,.02,9152.00,13.00,0,.03,10384.00,13.00,0,1.02,9424.00,45.00
benchmarks/clam_goal3.smt2.th,0,.91,35504.00,13.00,0,1.37,68224.00,13.00,0,.99,63680.00,13.00,0,2.81,18352.00,45.00
benchmarks/clam_goal65.smt2.th,0,.55,14560.00,13.00,0,1.35,70128.00,13.00,0,.52,21008.00,13.00,0,2.47,17984.00,45.00
benchmarks/sg_clam_goal-sg3.smt2.th,0,.89,33872.00,13.00,0,1.36,72608.00,13.00,0,.56,21520.00,13.00,0,7.57,60240.00,45.00
benchmarks/clam_goal2.smt2.th,0,.87,35248.00,13.00,0,1.36,71712.00,13.00,0,.52,20720.00,13.00,0,6.81,58800.00,45.00
benchmarks/clam_goal4.smt2.th,0,.88,34176.00,13.00,0,1.38,71888.00,13.00,0,1.02,63648.00,13.00,0,2.57,18160.00,45.00
benchmarks/clam_goal20.smt2.th,0,.61,14640.00,13.00,0,1.43,71360.00,13.00,0,.55,20640.00,13.00,101,6.35,21408.00,0
benchmarks/clam_goal25.smt2.th,0,.93,34464.00,13.00,0,.74,20000.00,13.00,0,1.02,62976.00,13.00,101,.12,9680.00,0
benchmarks/clam_goal22.smt2.th,0,.94,34736.00,13.00,0,.72,19424.00,13.00,0,1.01,63584.00,13.00,101,6.33,21808.00,0
benchmarks/clam_goal64.smt2.th,0,.99,34496.00,13.00,0,1.33,69984.00,13.00,0,1.01,64464.00,13.00,101,6.25,21504.00,0
benchmarks/isaplanner_goal47.smt2.th,0,.61,31136.00,115.00,0,.94,44176.00,115.00,0,.83,38240.00,115.00,101,81.26,11904.00,0
benchmarks/isaplanner_goal16.smt2.th,0,.03,9968.00,19.00,0,.04,9424.00,19.00,0,.04,10896.00,19.00,0,1.15,9824.00,63.00
benchmarks/sg_clam_goal-sg25.smt2.th,0,1.99,38608.00,13.00,0,.94,20784.00,13.00,0,1.13,63520.00,13.00,101,.86,12096.00,0
benchmarks/clam_goal40.smt2.th,0,3.39,38032.00,27.00,0,.97,26384.00,27.00,0,8.94,78944.00,27.00,101,45.81,28272.00,0
